,CR1,QR1,DR1,RR1,NDR1,ICR1,SGR1,SAEGR1,EBITDA1,GPM1,OPP1,CR2,QR2,DR2,RR2,NDR2,ICR2,SGR2,SAEGR2,EBITDA2,GPM2,OPP2,CR3,QR3,DR3,RR3,NDR3,ICR3,SGR3,SAEGR3,EBITDA3,GPM3,OPP3,CR4,QR4,DR4,RR4,NDR4,ICR4,SGR4,SAEGR4,EBITDA4,GPM4,OPP4,CR5,QR5,DR5,RR5,NDR5,ICR5,SGR5,SAEGR5,EBITDA5,GPM5,OPP5,Target
0,87.2,83.4,85.4,44934.1,30.5,5.1,2.5,2.8,3.9,100.0,8.8,116.2,112.0,89.6,54673.4,32.5,3.9,-3.7,-2.0,-6.2,100.0,7.1,103.0,100.9,98.1,55114.6,42.2,2.7,5.1,6.1,14.3,100.0,6.3,107.3,105.2,96.4,57848.3,39.1,3.4,5.0,3.9,7.6,100.0,7.2,111.2,108.8,90.1,59202.7,35.9,4.5,5.7,4.8,4.0,100.0,8.1,0
0,386.3,384.4,27.3,14270.7,0,384.8,13.7,-3.5,7.3,16.1,7.9,373.5,372.3,30.3,15367.1,0,526.3,7.9,3.1,11.4,16.6,8.7,375.9,374.9,34.1,16823.2,0,65.7,6.8,2.1,20.8,16.7,9.2,382.5,381.0,33.5,17141.7,0,53.3,2.8,1.8,-7.7,15.3,7.9,341.0,339.5,38.1,18420.1,0,51.6,21.6,3.6,7.2,13.4,6.9,0
0,149.1,87.7,120.5,2247.9,38.3,23.6,28.0,7.4,-12.4,10.1,6.6,101.1,46.9,146.6,2119.8,87.8,8.8,21.9,-15.2,-40.3,5.0,2.5,97.9,42.3,151.4,2129.2,94.3,2.3,-4.2,0.6,3.8,4.3,1.7,76.1,42.7,176.1,1850.0,87.5,0,-31.0,-10.3,0,-3.2,-6.5,94.9,43.5,172.4,2184.0,71.9,0,52.8,-2.1,0,11.3,9.1,0
0,362.6,235.0,27.5,751.4,0,168.0,4.4,7.7,-1.1,59.2,30.9,390.9,240.9,24.9,784.1,0,180.2,-4.2,4.7,-12.4,58.9,28.0,401.1,248.1,23.0,842.8,0,201.4,11.0,8.2,11.4,57.9,27.8,339.0,211.7,26.1,902.0,0,246.7,6.8,-0.4,7.6,56.0,27.9,324.3,214.5,26.8,937.4,0,93.7,5.5,5.2,-5.0,53.9,25.7,0
0,78.6,63.8,280.2,481.8,131.1,1.9,-0.8,-5.5,7.2,17.7,6.6,85.0,68.6,299.1,344.5,129.9,2.0,6.6,1.8,5.3,17.4,6.8,67.9,51.9,300.0,138.3,138.2,2.1,6.1,2.1,8.3,17.1,6.9,76.1,61.1,259.8,64.6,100.6,0.3,-3.4,18.9,-55.6,13.6,1.0,84.2,68.0,198.7,110.6,66.3,3.1,9.6,-21.6,222.5,16.7,8.2,0
0,294.7,232.7,28.2,2082.0,0,68.5,7.1,-7.0,18.4,13.0,8.7,288.1,216.8,25.0,2438.1,0,68.6,15.6,15.7,3.8,12.0,7.7,259.2,184.0,71.9,3171.2,26.0,28.5,7.2,28.5,9.1,11.2,6.1,367.4,282.8,104.0,3181.5,50.5,8.7,5.6,9.7,-6.8,9.2,3.9,680.8,577.1,56.2,6017.3,0,15.2,30.1,40.4,92.5,12.8,7.0,0
0,54.0,43.7,557.1,656.5,360.2,2.1,3.1,-1.2,-8.3,17.4,7.8,49.6,37.5,717.1,533.5,441.7,1.2,7.6,18.5,-8.0,15.7,5.2,40.7,32.6,871.5,453.6,549.1,0.3,-4.8,-7.6,-6.7,11.7,1.4,50.1,43.2,660.6,265.8,409.9,0.2,-38.6,-48.7,-8.0,10.0,1.4,72.5,65.0,308.6,260.1,153.3,2.4,7.2,-4.4,36.0,19.4,11.7,0
0,582.2,581.8,19.8,50821.9,0,37.8,61.7,58.9,76.6,100.0,21.0,441.3,440.8,19.4,53081.4,0,417.0,-16.6,-7.1,-44.0,100.0,12.0,385.2,384.5,24.9,56547.6,0,23.1,7.8,11.0,-0.3,100.0,9.3,111.5,111.2,45.5,67608.8,0,11.8,14.1,12.0,19.6,100.0,11.0,164.4,164.0,37.9,71530.6,0,5.3,-5.7,-0.8,-33.7,100.0,5.5,0
0,605.1,381.6,15.3,6274.0,0,1122.6,12.8,-2.3,14.2,16.2,13.6,736.6,497.4,13.4,6581.0,0,726.2,4.4,-20.0,-8.9,13.1,11.1,652.9,432.0,14.7,7074.3,0,573.5,-2.7,4.8,6.0,14.2,12.0,439.3,238.1,19.9,7343.9,0,538.8,13.3,-5.6,8.4,13.7,11.8,372.6,198.8,23.1,7796.5,0,243.9,31.1,13.8,21.0,13.2,11.6,0
0,160.3,124.5,28.8,11941.1,0,193.6,-9.2,-6.7,-20.3,73.1,11.6,205.4,152.5,20.8,12718.5,0,206.4,3.0,6.8,-8.8,72.8,9.1,169.1,126.6,33.1,13203.8,0,21.4,5.7,8.7,22.1,73.1,7.7,189.0,146.1,27.7,13141.1,0,8.4,-20.6,-17.2,-34.1,71.5,3.2,204.6,154.6,26.4,13945.0,0,0,8.0,1.9,108.8,72.2,9.0,0
0,116.7,90.5,94.6,703.4,14.8,27.2,4.9,19.1,31.0,19.3,8.9,88.4,61.4,122.9,681.4,40.8,1.2,-12.4,3.1,-35.7,12.7,0.4,93.3,74.6,184.9,533.9,80.8,0,-3.5,7.9,-36.0,8.0,-5.8,100.8,81.1,175.4,537.3,77.0,0,3.2,-17.2,75.8,10.9,-0.1,95.5,69.3,157.4,626.5,63.3,5.1,25.7,13.7,118.2,18.9,8.3,0
0,109.5,83.8,201.3,1548.8,58.1,8.9,32.8,7.4,43.0,11.6,3.9,141.0,108.1,171.7,1690.3,71.1,4.9,4.5,2.1,20.0,10.8,3.3,123.7,99.8,161.8,1763.3,51.2,7.5,-0.1,-5.8,35.3,13.1,6.0,138.4,100.8,148.7,1951.8,42.9,13.7,19.6,7.7,27.6,13.5,7.1,120.1,75.7,167.2,2524.8,37.4,26.5,61.8,33.5,69.8,14.9,9.1,0
0,217.0,176.5,59.5,6604.3,0,27.4,20.1,19.4,14.1,23.9,18.5,205.6,160.7,53.6,7330.8,0.6,24.9,1.3,-12.2,-27.3,16.8,12.1,263.5,202.2,42.6,7604.9,0,9.8,-5.9,6.5,-30.1,12.7,7.3,239.8,185.5,41.4,7396.1,0,3.3,-19.2,-1.4,-35.4,9.4,2.9,247.9,180.1,42.6,8295.4,0,22.8,44.0,13.0,178.9,16.6,11.6,0
0,102.1,97.3,125.1,710.0,28.6,4.6,2.8,3.3,-1.0,100.0,5.9,126.7,119.4,118.5,797.0,20.0,4.3,0.3,0.9,-3.9,100.0,5.4,117.2,110.7,127.5,826.1,27.2,4.2,3.8,4.4,4.2,100.0,4.8,121.3,115.5,116.5,852.0,22.4,4.5,-1.8,-1.9,0.6,100.0,5.0,126.8,122.5,122.6,895.1,27.7,6.9,3.2,1.7,6.6,100.0,7.1,0
